2005,"Guelph, Ontario","Total, all violations",Actual incidents,v52126846,46.1.1,..
2006,"Guelph, Ontario","Total, all violations",Actual incidents,v52126846,46.1.1,5774.00
2007,"Guelph, Ontario","Total, all violations",Actual incidents,v52126846,46.1.1,6292.00
2008,"Guelph, Ontario","Total, all violations",Actual incidents,v52126846,46.1.1,6412.00
2009,"Guelph, Ontario","Total, all violations",Actual incidents,v52126846,46.1.1,6602.00
2010,"Guelph, Ontario","Total, all violations",Actual incidents,v52126846,46.1.1,5884.00
2011,"Guelph, Ontario","Total, all violations",Actual incidents,v52126846,46.1.1,5551.00
2012,"Guelph, Ontario","Total, all violations",Actual incidents,v52126846,46.1.1,5829.00
2013,"Guelph, Ontario","Total, all violations",Actual incidents,v52126846,46.1.1,5140.00
2014,"Guelph, Ontario","Total, all violations",Actual incidents,v52126846,46.1.1,5409.00
2015,"Guelph, Ontario","Total, all violations",Actual incidents,v52126846,46.1.1,5469.00
2005,"Guelph, Ontario","Total, all violations",Rate per 100000 population,v52126852,46.1.2,..
2006,"Guelph, Ontario","Total, all violations",Rate per 100000 population,v52126852,46.1.2,4814.72
2007,"Guelph, Ontario","Total, all violations",Rate per 100000 population,v52126852,46.1.2,5217.12
2008,"Guelph, Ontario","Total, all violations",Rate per 100000 population,v52126852,46.1.2,5267.01
2009,"Guelph, Ontario","Total, all violations",Rate per 100000 population,v52126852,46.1.2,5377.14
2010,"Guelph, Ontario","Total, all violations",Rate per 100000 population,v52126852,46.1.2,4733.40
2011,"Guelph, Ontario","Total, all violations",Rate per 100000 population,v52126852,46.1.2,4416.70
2012,"Guelph, Ontario","Total, all violations",Rate per 100000 population,v52126852,46.1.2,4583.41
2013,"Guelph, Ontario","Total, all violations",Rate per 100000 population,v52126852,46.1.2,4010.64
2014,"Guelph, Ontario","Total, all violations",Rate per 100000 population,v52126852,46.1.2,4182.26
2015,"Guelph, Ontario","Total, all violations",Rate per 100000 population,v52126852,46.1.2,4192.73
2006,"Guelph, Ontario","Total, all violations",Percentage change in rate,v52126851,46.1.3,..
2007,"Guelph, Ontario","Total, all violations",Percentage change in rate,v52126851,46.1.3,8.36
2008,"Guelph, Ontario","Total, all violations",Percentage change in rate,v52126851,46.1.3,0.96
2009,"Guelph, Ontario","Total, all violations",Percentage change in rate,v52126851,46.1.3,2.09
2010,"Guelph, Ontario","Total, all violations",Percentage change in rate,v52126851,46.1.3,-11.97
2011,"Guelph, Ontario","Total, all violations",Percentage change in rate,v52126851,46.1.3,-6.69
2012,"Guelph, Ontario","Total, all violations",Percentage change in rate,v52126851,46.1.3,3.77
2013,"Guelph, Ontario","Total, all violations",Percentage change in rate,v52126851,46.1.3,-12.50
2014,"Guelph, Ontario","Total, all violations",Percentage change in rate,v52126851,46.1.3,4.28
2015,"Guelph, Ontario","Total, all violations",Percentage change in rate,v52126851,46.1.3,0.25
2005,"Guelph, Ontario","Total, all violations",Total cleared,v52126854,46.1.4,..
2006,"Guelph, Ontario","Total, all violations",Total cleared,v52126854,46.1.4,2416.00
2007,"Guelph, Ontario","Total, all violations",Total cleared,v52126854,46.1.4,2797.00
2008,"Guelph, Ontario","Total, all violations",Total cleared,v52126854,46.1.4,2726.00
2009,"Guelph, Ontario","Total, all violations",Total cleared,v52126854,46.1.4,2948.00
2010,"Guelph, Ontario","Total, all violations",Total cleared,v52126854,46.1.4,3159.00
2011,"Guelph, Ontario","Total, all violations",Total cleared,v52126854,46.1.4,2580.00
2012,"Guelph, Ontario","Total, all violations",Total cleared,v52126854,46.1.4,2903.00
2013,"Guelph, Ontario","Total, all violations",Total cleared,v52126854,46.1.4,2829.00
2014,"Guelph, Ontario","Total, all violations",Total cleared,v52126854,46.1.4,2758.00
2015,"Guelph, Ontario","Total, all violations",Total cleared,v52126854,46.1.4,2825.00
2005,"Guelph, Ontario","Total, all violations",Cleared by charge,v52126849,46.1.5,..
2006,"Guelph, Ontario","Total, all violations",Cleared by charge,v52126849,46.1.5,1976.00
2007,"Guelph, Ontario","Total, all violations",Cleared by charge,v52126849,46.1.5,1960.00
2008,"Guelph, Ontario","Total, all violations",Cleared by charge,v52126849,46.1.5,1924.00
2009,"Guelph, Ontario","Total, all violations",Cleared by charge,v52126849,46.1.5,2150.00
2010,"Guelph, Ontario","Total, all violations",Cleared by charge,v52126849,46.1.5,2284.00
2011,"Guelph, Ontario","Total, all violations",Cleared by charge,v52126849,46.1.5,1897.00
2012,"Guelph, Ontario","Total, all violations",Cleared by charge,v52126849,46.1.5,1913.00
2013,"Guelph, Ontario","Total, all violations",Cleared by charge,v52126849,46.1.5,1826.00
2014,"Guelph, Ontario","Total, all violations",Cleared by charge,v52126849,46.1.5,2011.00
2015,"Guelph, Ontario","Total, all violations",Cleared by charge,v52126849,46.1.5,2242.00
2005,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,..
2006,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,440.00
2007,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,837.00
2008,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,802.00
2009,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,798.00
2010,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,875.00
2011,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,683.00
2012,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,990.00
2013,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,1003.00
2014,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,747.00
2015,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,583.00
2005,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,..
2006,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,1948.00
2007,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,2001.00
2008,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,1916.00
2009,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,2144.00
